cuenta_id,fecha,transaccion,monto,descripcion
116,15/05/2024,retiro,1000,Compra en tienda
105,2024-01-29,compra,1000,Ingreso navideño
110,17/04/2024,compra,3000,Ingreso navideño
108,2024/11/21,deposito,-500,Ingreso navideño
105,2024/04/20,retiro,-500,Retiro parcial
110,2024/11/01,retiro,-500,Ingreso navideño
108,2024/04/01,retiro,2500,
120,2024/07/13,deposito,1500,Ingreso mensual
117,27/04/2024,deposito,1500,Ingreso navideño
120,2024/12/27,compra,-100,
104,2024/07/07,deposito,-100,
111,15/08/2024,deposito,1500,Ingreso extra
106,27-08-2024,depósito,2000,Compra en tienda
109,29-08-2024,retiro,2500,Retiro parcial
113,13/12/2024,compra,,Ingreso navideño
105,2024/07/01,compra,1500,
112,18-07-2024,deposito,1000,Ingreso extra
117,15/11/2024,deposito,0,Ingreso navideño
103,2024-10-11,deposito,2500,
102,20/10/2024,depósito,3000,Ingreso extra
102,2024-03-02,compra,1000,Ingreso extra
115,13-03-2024,compra,1500,Ingreso extra
108,2024/10/01,retiro,1000,Retiro parcial
116,28-05-2024,compra,3000,Compra en tienda
102,2024/12/27,retiro,,Compra en tienda
104,13-08-2024,retiro,-500,Ingreso mensual
119,19-09-2024,retiro,-500,Ingreso navideño
114,03/11/2024,retiro,2000,
116,04-04-2024,compra,,Ingreso navideño
108,03-02-2024,retiro,2500,Ingreso mensual
109,2024-06-20,deposito,3000,
106,25/03/2024,compra,2000,Ingreso extra
106,22/08/2024,compra,-500,Ingreso mensual
115,24/10/2024,retiro,1000,
102,01-10-2024,compra,-500,Compra en tienda
119,2024-12-13,retiro,1500,Ingreso extra
106,25/06/2024,deposito,1000,Retiro parcial
105,10/04/2024,retiro,-500,Retiro parcial
115,2024/02/22,deposito,1500,
113,2024/08/30,retiro,2000,Ingreso extra
115,2024/04/24,deposito,2000,Ingreso mensual
106,30/01/2024,retiro,-500,Compra en tienda
118,19-06-2024,deposito,3000,
113,09-06-2024,deposito,3000,Ingreso navideño
110,24-03-2024,compra,-100,Ingreso extra
107,2024-03-29,retiro,2000,Retiro parcial
112,2024/04/29,retiro,2500,Ingreso navideño
102,2024-05-18,compra,1000,
